iter	Logloss
0	0.5660226578
1	0.5132858376
2	0.4734935984
3	0.4523602491
4	0.4379946152
5	0.4210370721
6	0.4075378066
7	0.3976191123
8	0.3954954808
9	0.3899811509
10	0.3890448486
11	0.3843193664
12	0.3820099601
13	0.3798197753
14	0.3775549816
15	0.3764265793
16	0.3740976704
17	0.3719581923
18	0.3699304492
19	0.3685219046
20	0.3675461544
21	0.3668126309
22	0.3659087374
23	0.3647187636
24	0.3629764045
25	0.3587463656
26	0.3579270817
27	0.3566434939
28	0.3557430104
29	0.3546280386
30	0.3506803915
31	0.3497457923
32	0.3485111595
33	0.3471723419
34	0.3462164315
35	0.3454671927
36	0.343283292
37	0.341001143
38	0.3404154292
39	0.3395927257
40	0.3387918424
41	0.3380924737
42	0.3373246624
43	0.3365643559
44	0.3357198364
45	0.3348998741
46	0.3342539389
47	0.3336770344
48	0.3330731432
49	0.3324063081
50	0.3318952877
51	0.3285039301
52	0.3279187546
53	0.3274303011
54	0.3269324446
55	0.3262779754
56	0.3258059985
57	0.3253470254
58	0.3249246956
59	0.321174474
60	0.3204088054
61	0.3200191615
62	0.3196329234
63	0.3155761473
64	0.315189748
65	0.3148000302
66	0.3144203018
67	0.3140452156
68	0.3137066954
69	0.3133503408
70	0.312912292
71	0.3122437649
72	0.3119424056
73	0.309345367
74	0.3090183417
75	0.3086931609
76	0.3069666844
77	0.3054325961
78	0.3020474296
79	0.3014924674
