iter	Passed	Remaining
0	1	107
1	2	107
2	4	115
3	5	111
4	7	115
5	9	112
6	10	108
7	11	106
8	13	103
9	14	101
10	15	98
11	17	97
12	18	95
13	20	94
14	23	99
15	24	99
16	27	101
17	31	107
18	33	106
19	35	106
20	37	104
21	39	102
22	41	101
23	42	100
24	44	98
25	46	95
26	48	94
27	50	93
28	52	92
29	54	91
30	56	90
31	58	88
32	61	87
33	62	84
34	64	82
35	65	80
36	67	78
37	69	76
38	70	74
39	72	72
40	73	70
41	75	67
42	76	65
43	77	63
44	78	61
45	79	59
46	81	56
47	82	54
48	83	52
49	84	50
50	85	48
51	86	46
52	88	45
53	89	43
54	90	41
55	91	39
56	93	37
57	94	35
58	95	33
59	96	32
60	97	30
61	98	28
62	100	27
63	101	25
64	102	23
65	103	22
66	105	20
67	106	18
68	107	17
69	108	15
70	109	13
71	110	12
72	112	10
73	113	9
74	114	7
75	115	6
76	116	4
77	118	3
78	119	1
79	120	0
