,number
0,07
1,10
2,12
3,17
4,23
5,28
6,34
7,20
8,24
9,29
10,31
11,33
12,34
13,35
14,02
15,07
16,08
17,11
18,14
19,23
20,31
21,12
22,13
23,22
24,23
25,24
26,28
27,29
28,01
29,03
30,04
31,05
32,16
33,21
34,28
35,05
36,15
37,19
38,23
39,30
40,34
41,35
42,01
43,03
44,05
45,07
46,27
47,29
48,33
49,02
50,21
51,28
52,29
53,30
54,32
55,36
56,03
57,04
58,15
59,23
60,27
61,30
62,36
63,01
64,02
65,03
66,06
67,24
68,28
69,30
70,09
71,15
72,26
73,29
74,32
75,34
76,36
77,11
78,12
79,14
80,19
81,26
82,27
83,33
84,06
85,10
86,16
87,21
88,27
89,28
90,35
91,04
92,07
93,08
94,09
95,24
96,28
97,30
98,02
99,10
100,14
101,17
102,23
103,25
104,35
105,05
106,06
107,09
108,13
109,16
110,21
111,23
112,02
113,03
114,05
115,22
116,34
117,36
118,37
119,12
120,17
121,21
122,24
123,29
124,31
125,36
126,02
127,14
128,19
129,20
130,21
131,22
132,31
133,02
134,05
135,13
136,20
137,21
138,23
139,28
140,01
141,09
142,13
143,15
144,25
145,30
146,33
147,02
148,04
149,08
150,09
151,15
152,23
153,25
154,04
155,08
156,11
157,25
158,28
159,29
160,30
161,04
162,05
163,08
164,10
165,16
166,19
167,33
168,01
169,06
170,11
171,16
172,17
173,18
174,21
175,11
176,13
177,16
178,18
179,26
180,31
181,36
182,01
183,10
184,11
185,14
186,17
187,18
188,28
189,06
190,07
191,12
192,15
193,19
194,35
195,37
196,02
197,03
198,16
199,17
200,24
201,26
202,28
203,06
204,08
205,13
206,22
207,26
208,32
209,36
210,09
211,12
212,13
213,19
214,23
215,33
216,34
217,03
218,08
219,15
220,18
221,27
222,29
223,37
224,01
225,04
226,17
227,24
228,29
229,33
230,36
231,04
232,06
233,07
234,23
235,24
236,32
237,35
238,01
239,16
240,18
241,19
242,25
243,30
244,34
245,05
246,06
247,10
248,11
249,20
250,28
251,36
252,07
253,08
254,10
255,13
256,14
257,19
258,37
259,04
260,14
261,19
262,22
263,24
264,29
265,34
266,07
267,13
268,19
269,23
270,25
271,26
272,30
273,02
274,06
275,11
276,23
277,26
278,31
279,34
280,02
281,03
282,08
